job_id,title,description,company,location,salary_min,salary_max,contract_type,created,redirect_url,category
5491244965,software & data/ai engineer with security clearance,"Title: Software & Data/AI Engineer Location: Tysons, VA *Clearance: *Active TS/SCI w/ Polygraph needed to apply * Company Overview: Cornerstone Defense is the Employer of Choice within the Intelligence, Defense, and Space communities of the U.S. Government. Realizing early on that our most prized assets are our employees, we continually focus our attention on improving the overall work/life experience they have supporting the mission. Our Team is pushed every day to use their industry leading k…",cornerstone defense,"fairfax, fairfax county",110783.23,110783.23,,2025-11-11 18:08:53+00:00,https://www.adzuna.com/land/ad/5491244965?se=jHQCNPnr8BGBePGj5W11VA&utm_medium=api&utm_source=96605243&v=AC39AB8B1BD224A826C5176C3E8131EF2DCF0739,it jobs
5383974141,"senior software engineer, data & ai","Vendelux helps companies discover the best events. Event marketers are the unsung heroes of successful companies. From generating leads to building world-class brands, event marketers make magic happen throughout the year. Vendelux is here to help maximize the impact of all the events that a company sponsors and attends. We are a Series A SaaS company and provide the system of record for event marketing. Our software platform provides proprietary insights that helps high-growth companies find t…",vendelux,"new york city, new york",175000.0,225000.0,,2025-09-04 18:18:01+00:00,https://www.adzuna.com/land/ad/5383974141?se=jHQCNPnr8BGBePGj5W11VA&utm_medium=api&utm_source=96605243&v=4FAD205B7AA5F34039A4BAFD65967EAECE48E81C,it jobs
5529825283,"senior software engineer, data & ai- northeast","Vendelux helps companies discover the best events. Event marketers are the unsung heroes of successful companies. From generating leads to building world-class brands, event marketers make magic happen throughout the year. Vendelux is here to help maximize the impact of all the events that a company sponsors and attends. We are a Series A SaaS company and provide the system of record for event marketing. Our software platform provides proprietary insights that helps high-growth companies find t…",vendelux,us,180180.28,180180.28,,2025-12-05 15:10:05+00:00,https://www.adzuna.com/land/ad/5529825283?se=jHQCNPnr8BGBePGj5W11VA&utm_medium=api&utm_source=96605243&v=03B4266223C9289FEC2C094D7333097FBC7D21BD,it jobs
5537251538,"software architect, data & ai platform strategy","About Invoca Invoca is the industry innovator in AI and machine learning-powered Conversation Intelligence technology. Forrester Research identified Invoca as a Leader in The Forrester Wave™: Conversation Intelligence: Sales And Marketing, Q4 2021 report, stating that ""Invoca is one of the few established conversation intelligence vendors that can legitimately claim AI capabilities."" With over 300 employees, more than 2,000 customers, and nearing $100M in revenue, there are tremendous opportuni…",invoca,"santa barbara, santa barbara county",220000.0,260000.0,,2025-12-10 20:41:50+00:00,https://www.adzuna.com/details/5537251538?utm_medium=api&utm_source=96605243,it jobs
5571816988,"senior software engineer, data (ai insights)","Affinity stitches together billions of data points from massive datasets to create a powerful, accurate representation of the world's professional relationship graph. Based on this data, we offer our users the insights and visibility they need to nurture and tap into their team's network of opportunities. This role is part of the AI Insights team, which owns the services that power Affinity's industry-leading relationship intelligence platform. Our team extracts and retrieves information from b…",affinity.co,"san francisco, california",140000.0,200000.0,,2026-01-07 12:49:35+00:00,https://www.adzuna.com/details/5571816988?utm_medium=api&utm_source=96605243,engineering jobs
5502374273,software engineer data/ai/intelligent systems phd (intern) - united states,"Please note this posting is to advertise potential job opportunities. This exact role may not be open today but could open in the near future. When you apply, a Cisco representative may contact you directly if a relevant position opens. Applications are accepted until further notice. Meet the Team Our dedicated team members are building the future of Cisco's AI-driven platforms and data infrastructure, supporting innovation across the globe. You will join teams focused on developing advanced da…",cisco,"orenco, washington county",115221.93,115221.93,,2025-11-18 14:34:06+00:00,https://www.adzuna.com/land/ad/5502374273?se=jHQCNPnr8BGBePGj5W11VA&utm_medium=api&utm_source=96605243&v=67C0300B043661593549A2B4E8EF1DCAFD485B59,engineering jobs
5499565991,software engineer data/ai/intelligent systems i (intern) - united states,"Please note this posting is to advertise potential job opportunities. This exact role may not be open today but could open in the near future. When you apply, a Cisco representative may contact you directly if a relevant position opens. Applications are accepted until further notice. Meet the Team Our dedicated team members are building the future of Cisco's AI-driven platforms and data infrastructure, supporting innovation across the globe. You will join teams focused on developing advanced da…",cisco,"portland, multnomah county",74412.74,74412.74,,2025-11-16 14:09:50+00:00,https://www.adzuna.com/land/ad/5499565991?se=jHQCNPnr8BGBePGj5W11VA&utm_medium=api&utm_source=96605243&v=E30BC923D08B6D3C6F0811B0BB97ECD919571E27,engineering jobs
5499566011,software engineer data/ai/intelligent systems i (intern) - united states,"Please note this posting is to advertise potential job opportunities. This exact role may not be open today but could open in the near future. When you apply, a Cisco representative may contact you directly if a relevant position opens. Applications are accepted until further notice. Meet the Team Our dedicated team members are building the future of Cisco's AI-driven platforms and data infrastructure, supporting innovation across the globe. You will join teams focused on developing advanced da…",cisco,"orenco, washington county",100362.73,100362.73,,2025-11-16 14:09:50+00:00,https://www.adzuna.com/land/ad/5499566011?se=jHQCNPnr8BGBePGj5W11VA&utm_medium=api&utm_source=96605243&v=1D960835E18F1F5051156CC8308A61D48193578E,engineering jobs
5502412623,software engineer data/ai/intelligent systems phd (intern) - united states,"Please note this posting is to advertise potential job opportunities. This exact role may not be open today but could open in the near future. When you apply, a Cisco representative may contact you directly if a relevant position opens. Applications are accepted until further notice. Meet the Team Our dedicated team members are building the future of Cisco's AI-driven platforms and data infrastructure, supporting innovation across the globe. You will join teams focused on developing advanced da…",cisco,"grand central, manhattan",122086.76,122086.76,,2025-11-18 14:52:09+00:00,https://www.adzuna.com/land/ad/5502412623?se=jHQCNPnr8BGBePGj5W11VA&utm_medium=api&utm_source=96605243&v=C11B25D212E971C4AD2AA1BC8B3B1C14EB9B9F9E,engineering jobs
5499568759,software engineer data/ai/intelligent systems i (intern) - united states,"Please note this posting is to advertise potential job opportunities. This exact role may not be open today but could open in the near future. When you apply, a Cisco representative may contact you directly if a relevant position opens. Applications are accepted until further notice. Meet the Team Our dedicated team members are building the future of Cisco's AI-driven platforms and data infrastructure, supporting innovation across the globe. You will join teams focused on developing advanced da…",cisco,"boston, suffolk county",70898.42,70898.42,,2025-11-16 14:10:49+00:00,https://www.adzuna.com/land/ad/5499568759?se=jHQCNPnr8BGBePGj5W11VA&utm_medium=api&utm_source=96605243&v=22F459AA6E6FD9E2C17ADED3CA06D94B8D9CBCE0,engineering jobs
